run_id,date,report_id,status,duration_minutes,sla_met,rows_processed,failure_reason
RUN-RPT001-000,2026-03-21,RPT001,Succeeded,74.4,No,579318,none
RUN-RPT001-001,2026-03-22,RPT001,Succeeded,42.9,Yes,772803,none
RUN-RPT001-002,2026-03-23,RPT001,Succeeded,40.1,Yes,300813,none
RUN-RPT001-003,2026-03-24,RPT001,Succeeded,58.5,Yes,50924,none
RUN-RPT001-004,2026-03-25,RPT001,Succeeded,24.7,Yes,382209,none
RUN-RPT001-005,2026-03-26,RPT001,Succeeded,59.6,Yes,554006,none
RUN-RPT001-006,2026-03-27,RPT001,Failed,25.9,No,720192,none
RUN-RPT001-007,2026-03-28,RPT001,Succeeded,37.0,Yes,550659,none
RUN-RPT001-008,2026-03-29,RPT001,Warning,37.2,Yes,349509,none
RUN-RPT001-009,2026-03-30,RPT001,Failed,51.2,No,715987,capacity queue
RUN-RPT001-010,2026-03-31,RPT001,Failed,67.7,No,679076,schema drift
RUN-RPT001-011,2026-04-01,RPT001,Succeeded,39.4,Yes,155898,none
RUN-RPT001-012,2026-04-02,RPT001,Warning,32.4,Yes,534256,none
RUN-RPT001-013,2026-04-03,RPT001,Succeeded,30.0,Yes,610963,none
RUN-RPT001-014,2026-04-04,RPT001,Succeeded,77.1,No,53571,none
RUN-RPT001-015,2026-04-05,RPT001,Succeeded,32.6,Yes,69179,none
RUN-RPT001-016,2026-04-06,RPT001,Succeeded,41.6,Yes,427127,none
RUN-RPT001-017,2026-04-07,RPT001,Warning,45.8,Yes,399843,none
RUN-RPT001-018,2026-04-08,RPT001,Warning,77.8,No,503110,none
RUN-RPT001-019,2026-04-09,RPT001,Succeeded,76.3,No,701238,none
RUN-RPT001-020,2026-04-10,RPT001,Warning,64.8,Yes,39703,none
RUN-RPT001-021,2026-04-11,RPT001,Succeeded,20.2,Yes,946989,none
RUN-RPT001-022,2026-04-12,RPT001,Succeeded,10.1,Yes,919469,none
RUN-RPT001-023,2026-04-13,RPT001,Succeeded,78.5,No,784654,none
RUN-RPT001-024,2026-04-14,RPT001,Succeeded,45.9,Yes,810373,none
RUN-RPT001-025,2026-04-15,RPT001,Succeeded,57.9,Yes,166200,none
RUN-RPT001-026,2026-04-16,RPT001,Warning,72.7,No,50591,none
RUN-RPT001-027,2026-04-17,RPT001,Succeeded,20.5,Yes,396083,none
RUN-RPT001-028,2026-04-18,RPT001,Succeeded,85.7,No,758988,none
RUN-RPT001-029,2026-04-19,RPT001,Warning,25.5,Yes,829442,none
