metric_id,report_id,metric_name,business_definition,grain,certification_state,sql_test_coverage,owner
MET-RPT001-program_compliance,RPT001,program_compliance,validated activity divided by funded activity,customer by week,Certified,Missing,reporting services
MET-RPT001-penetration_rate,RPT001,penetration_rate,covered outlets divided by eligible outlets,customer by week,Certified,Partial,customer data operations
MET-RPT001-refresh_success_rate,RPT001,refresh_success_rate,successful refresh runs divided by attempted refresh runs,program by period,Certified,Missing,data strategy
MET-RPT002-program_compliance,RPT002,program_compliance,validated activity divided by funded activity,program by period,Peer review,Partial,data strategy
MET-RPT002-penetration_rate,RPT002,penetration_rate,covered outlets divided by eligible outlets,customer by week,Needs owner,Partial,BI delivery
MET-RPT002-churn_rate,RPT002,churn_rate,outlets with no qualifying transaction after active baseline,customer by week,Draft,Missing,data strategy
MET-RPT003-change_contribution,RPT003,change_contribution,"period change decomposed by volume, price, mix, and account movement",outlet by month,Needs owner,Full,BI delivery
MET-RPT003-churn_rate,RPT003,churn_rate,outlets with no qualifying transaction after active baseline,program by period,Peer review,Partial,data strategy
MET-RPT003-penetration_rate,RPT003,penetration_rate,covered outlets divided by eligible outlets,report by day,Certified,Full,reporting services
MET-RPT004-refresh_success_rate,RPT004,refresh_success_rate,successful refresh runs divided by attempted refresh runs,customer by week,Draft,Full,BI delivery
MET-RPT004-change_contribution,RPT004,change_contribution,"period change decomposed by volume, price, mix, and account movement",report by day,Certified,Missing,reporting services
MET-RPT004-churn_rate,RPT004,churn_rate,outlets with no qualifying transaction after active baseline,customer by week,Peer review,Full,governance and training
MET-RPT005-churn_rate,RPT005,churn_rate,outlets with no qualifying transaction after active baseline,program by period,Draft,Full,BI delivery
MET-RPT005-penetration_rate,RPT005,penetration_rate,covered outlets divided by eligible outlets,outlet by month,Needs owner,Full,customer data operations
MET-RPT005-change_contribution,RPT005,change_contribution,"period change decomposed by volume, price, mix, and account movement",report by day,Certified,Missing,data strategy
MET-RPT006-change_contribution,RPT006,change_contribution,"period change decomposed by volume, price, mix, and account movement",report by day,Peer review,Full,finance analytics
MET-RPT006-program_compliance,RPT006,program_compliance,validated activity divided by funded activity,customer by week,Peer review,Partial,data strategy
