lineage_id,report_id,source_system,pipeline_stage,dependency_tier,owner,last_validated_days,open_exception,business_impact
LIN-RPT001-landing,RPT001,bottler invoice hub,landing,Important,governance and training,47,No,late invoice adjustment
LIN-RPT001-validation,RPT001,bottler invoice hub,validation,Important,governance and training,38,No,missing store mapping
LIN-RPT001-warehouse-model,RPT001,bottler invoice hub,warehouse model,Important,governance and training,50,No,late invoice adjustment
LIN-RPT001-semantic-model,RPT001,bottler invoice hub,semantic model,Standard,governance and training,17,Yes,late invoice adjustment
LIN-RPT001-published-report,RPT001,bottler invoice hub,published report,Important,reporting services,10,No,missing store mapping
LIN-RPT002-landing,RPT002,retailer POS feed,landing,Standard,customer data operations,41,Yes,metric delay
LIN-RPT002-validation,RPT002,retailer POS feed,validation,Critical,data strategy,30,No,metric delay
LIN-RPT002-warehouse-model,RPT002,retailer POS feed,warehouse model,Critical,reporting services,54,Yes,incorrect segmentation
LIN-RPT002-semantic-model,RPT002,retailer POS feed,semantic model,Standard,reporting services,62,Yes,metric delay
LIN-RPT002-published-report,RPT002,retailer POS feed,published report,Important,BI delivery,48,No,incorrect segmentation
LIN-RPT003-landing,RPT003,customer hierarchy master,landing,Important,data strategy,1,No,incorrect segmentation
LIN-RPT003-validation,RPT003,customer hierarchy master,validation,Important,data strategy,0,No,none
LIN-RPT003-warehouse-model,RPT003,customer hierarchy master,warehouse model,Standard,governance and training,53,No,none
LIN-RPT003-semantic-model,RPT003,customer hierarchy master,semantic model,Standard,BI delivery,48,No,missing store mapping
LIN-RPT003-published-report,RPT003,customer hierarchy master,published report,Standard,customer data operations,14,No,late invoice adjustment
LIN-RPT004-landing,RPT004,trade program system,landing,Important,BI delivery,50,Yes,metric delay
LIN-RPT004-validation,RPT004,trade program system,validation,Standard,customer data operations,58,No,missing store mapping
LIN-RPT004-warehouse-model,RPT004,trade program system,warehouse model,Critical,BI delivery,34,No,metric delay
LIN-RPT004-semantic-model,RPT004,trade program system,semantic model,Important,governance and training,60,No,none
LIN-RPT004-published-report,RPT004,trade program system,published report,Important,governance and training,25,No,none
LIN-RPT005-landing,RPT005,planning workbook intake,landing,Critical,reporting services,52,No,metric delay
LIN-RPT005-validation,RPT005,planning workbook intake,validation,Critical,finance analytics,49,Yes,metric delay
LIN-RPT005-warehouse-model,RPT005,planning workbook intake,warehouse model,Critical,customer data operations,34,Yes,late invoice adjustment
LIN-RPT005-semantic-model,RPT005,planning workbook intake,semantic model,Standard,data strategy,19,Yes,none
LIN-RPT005-published-report,RPT005,planning workbook intake,published report,Standard,BI delivery,65,Yes,late invoice adjustment
LIN-RPT006-landing,RPT006,distributor reconciliation feed,landing,Critical,finance analytics,39,Yes,late invoice adjustment
