report_id,report_name,domain,business_context,audience,owner_group,workspace,source_system,refresh_cadence,power_bi_asset_type,complexity,rls_required,decision_value,doc_status,published_state
RPT001,National Customer Scorecard,Customer Programs,customer program funding and compliance,category management,customer data operations,Customer Operations,bottler invoice hub,Daily,Paginated report,High,Yes,83000,Current,Promoted
RPT002,Bottler Invoice Reconciliation,Retailer POS,sell-through and syndicated retail performance,field sales operations,finance analytics,Bottler Finance,retailer POS feed,Daily,Dataflow,High,Yes,81000,Current,Certified
RPT003,Retailer POS Sell-Through,Bottler Invoice,invoice-level bottler sales and adjustments,supply planning,governance and training,Planning and Forecasting,customer hierarchy master,Daily,Semantic model,Low,Yes,114000,Missing,Legacy
RPT004,Trade Program Funding Tracker,Distributor Data,secondary sales and distributor reconciliation,commercial leadership,BI delivery,Reporting Services,trade program system,Weekly,Dashboard,Low,Yes,169000,Missing,Legacy
RPT005,Customer Hierarchy Health,Customer Hierarchy,"customer, banner, outlet, and route alignment",national customer team,data strategy,Commercial Insights,planning workbook intake,Daily,Semantic model,Medium,No,126000,Current,Certified
RPT006,Distributor Volume Bridge,FP&A Planning,"forecasting, plan variance, and scenario routines",bottler finance leads,reporting services,Customer Operations,distributor reconciliation feed,Weekly,Paginated report,Medium,Yes,79000,Needs update,Certified
RPT007,Forecast Variance Review,Customer Programs,customer program funding and compliance,category management,customer data operations,Bottler Finance,customer EDI gateway,Daily,Dataflow,High,Yes,172000,Missing,Draft
RPT008,Outlet Segmentation Monitor,Retailer POS,sell-through and syndicated retail performance,field sales operations,finance analytics,Planning and Forecasting,bottler invoice hub,Weekly,Semantic model,High,Yes,213000,Current,Certified
RPT009,Pricing Exception Digest,Bottler Invoice,invoice-level bottler sales and adjustments,supply planning,governance and training,Reporting Services,retailer POS feed,Weekly,Dashboard,High,Yes,113000,Current,Legacy
RPT010,Customer Onboarding Readiness,Distributor Data,secondary sales and distributor reconciliation,commercial leadership,BI delivery,Commercial Insights,customer hierarchy master,Weekly,Semantic model,Medium,No,171000,Needs update,Promoted
RPT011,Promotion Compliance View,Customer Hierarchy,"customer, banner, outlet, and route alignment",national customer team,data strategy,Customer Operations,trade program system,Daily,Semantic model,High,Yes,123000,Missing,Promoted
RPT012,Route-to-Market Snapshot,FP&A Planning,"forecasting, plan variance, and scenario routines",bottler finance leads,reporting services,Bottler Finance,planning workbook intake,Intraday,Paginated report,Low,Yes,173000,Missing,Promoted
RPT013,Monthly Business Review Pack,Customer Programs,customer program funding and compliance,category management,customer data operations,Planning and Forecasting,distributor reconciliation feed,Daily,Semantic model,High,Yes,138000,Needs update,Legacy
RPT014,Invoice Adjustment Explorer,Retailer POS,sell-through and syndicated retail performance,field sales operations,finance analytics,Reporting Services,customer EDI gateway,Daily,Paginated report,Medium,Yes,71000,Missing,Legacy
RPT015,Retailer Data Quality Pulse,Bottler Invoice,invoice-level bottler sales and adjustments,supply planning,governance and training,Commercial Insights,bottler invoice hub,Intraday,Semantic model,Medium,No,219000,Current,Promoted
RPT016,Bottler Performance Summary,Distributor Data,secondary sales and distributor reconciliation,commercial leadership,BI delivery,Customer Operations,retailer POS feed,Weekly,Dataflow,High,Yes,198000,Needs update,Draft
RPT017,Program Accrual Watchlist,Customer Hierarchy,"customer, banner, outlet, and route alignment",national customer team,data strategy,Bottler Finance,customer hierarchy master,Intraday,Dashboard,Low,Yes,90000,Current,Promoted
